run_id,epoch,train_recon,train_vq,train_distill,val_recon,val_distill,best_val_recon,is_best,phase,channel_prob,learning_rate
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,91,0.04510613,0.16680783,0.02651261,0.04415235,0.02487819,0.04405191,0,Phase3-微调,0.250000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,92,0.04482711,0.16527379,0.02637192,0.04472455,0.02530510,0.04405191,0,Phase3-微调,0.275000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,93,0.04505094,0.16712405,0.02667376,0.04613148,0.02962451,0.04405191,0,Phase3-微调,0.300000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,94,0.04580537,0.17806425,0.02866879,0.04472599,0.02655107,0.04405191,0,Phase3-微调,0.325000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,95,0.04490671,0.16943042,0.02703120,0.04551166,0.02846110,0.04405191,0,Phase3-微调,0.350000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,96,0.04501036,0.17095622,0.02738519,0.04437607,0.02615088,0.04405191,0,Phase3-微调,0.375000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,97,0.04499839,0.17315887,0.02769462,0.04827253,0.02558401,0.04405191,0,Phase3-微调,0.400000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,98,0.04468995,0.16860596,0.02690344,0.04581609,0.02677291,0.04405191,0,Phase3-微调,0.425000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,99,0.04554836,0.17875460,0.02880991,0.04360394,0.02521136,0.04360394,1,Phase3-微调,0.450000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,100,0.04461787,0.17025759,0.02727627,0.04447324,0.02529504,0.04360394,0,Phase3-微调,0.475000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,101,0.04314537,0.16755184,0.02675539,0.04341942,0.02622745,0.04341942,1,Phase3-微调,0.500000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,102,0.04339925,0.17132210,0.02734762,0.04191594,0.02480130,0.04191594,1,Phase3-微调,0.525000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,103,0.04273514,0.16423834,0.02584449,0.04237340,0.02437268,0.04191594,0,Phase3-微调,0.550000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,104,0.04254622,0.16252377,0.02564068,0.04363476,0.02621548,0.04191594,0,Phase3-微调,0.575000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,105,0.04292488,0.16503752,0.02604629,0.04400954,0.02627500,0.04191594,0,Phase3-微调,0.600000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,106,0.04318446,0.17063336,0.02700398,0.04276845,0.02511870,0.04191594,0,Phase3-微调,0.625000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,107,0.04348168,0.17341400,0.02752325,0.04234027,0.02611921,0.04191594,0,Phase3-微调,0.650000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,108,0.04316397,0.17120508,0.02712775,0.04326392,0.02753221,0.04191594,0,Phase3-微调,0.675000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,109,0.04351446,0.17562478,0.02780601,0.04206722,0.02452677,0.04191594,0,Phase3-微调,0.700000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,110,0.04259668,0.16680480,0.02619278,0.04304215,0.02777777,0.04191594,0,Phase3-微调,0.725000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,111,0.04324312,0.17471990,0.02764780,0.04074065,0.02248847,0.04074065,1,Phase3-微调,0.750000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,112,0.04287487,0.17075593,0.02692508,0.04146384,0.02407556,0.04074065,0,Phase3-微调,0.775000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,113,0.04322321,0.17607780,0.02796745,0.04335573,0.02888626,0.04074065,0,Phase3-微调,0.800000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,114,0.04261779,0.16853848,0.02639960,0.04358543,0.02907597,0.04074065,0,Phase3-微调,0.825000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,115,0.04318352,0.17694721,0.02794562,0.04279688,0.02665165,0.04074065,0,Phase3-微调,0.850000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,116,0.04265350,0.16966542,0.02658754,0.04278800,0.02608120,0.04074065,0,Phase3-微调,0.875000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,117,0.04241988,0.17001641,0.02664032,0.04355978,0.02649785,0.04074065,0,Phase3-微调,0.900000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,118,0.04238123,0.16698690,0.02606201,0.04279493,0.02796274,0.04074065,0,Phase3-微调,0.925000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,119,0.04329029,0.18047920,0.02851920,0.04293296,0.02716068,0.04074065,0,Phase3-微调,0.950000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,120,0.04305324,0.17731745,0.02783657,0.04232015,0.02707602,0.04074065,0,Phase3-微调,0.975000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,121,0.04270586,0.17318495,0.02716123,0.04244906,0.02767151,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,122,0.04320660,0.17850346,0.02799095,0.04191930,0.02629318,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,123,0.04272264,0.17583337,0.02757449,0.04398712,0.03008055,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,124,0.04212436,0.16769034,0.02599358,0.04398846,0.02783499,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,125,0.04328682,0.18008692,0.02830810,0.04345555,0.03022568,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,126,0.04209419,0.16960103,0.02625818,0.04380634,0.02892014,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,127,0.04290694,0.17780507,0.02797892,0.04363043,0.02954502,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,128,0.04235492,0.17343965,0.02694673,0.04162108,0.02520346,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,129,0.04186901,0.16818367,0.02608744,0.04454140,0.02620102,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,130,0.04235814,0.17215491,0.02671927,0.04209908,0.02369725,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,131,0.04206206,0.16965014,0.02624808,0.04383864,0.02926187,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,132,0.04138070,0.16472487,0.02533076,0.04267360,0.02459442,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,133,0.04239145,0.17404360,0.02713468,0.04275208,0.02675458,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,134,0.04227108,0.17427272,0.02706283,0.04195329,0.02395592,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,135,0.04250412,0.17686788,0.02765679,0.04270225,0.02810981,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,136,0.04249587,0.17766284,0.02771075,0.04175065,0.02504528,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,137,0.04208370,0.17426130,0.02702170,0.04201069,0.02538868,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,138,0.04229889,0.17695170,0.02746753,0.04325153,0.02764360,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,139,0.04217100,0.17498810,0.02713024,0.04161773,0.02647602,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,140,0.04204040,0.17471664,0.02712570,0.04186632,0.02511041,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,141,0.04197824,0.17452607,0.02696963,0.04192434,0.02687223,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,142,0.04189222,0.17266255,0.02661344,0.04667077,0.03207222,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,143,0.04222097,0.17812218,0.02759330,0.04254879,0.02782567,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,144,0.04180054,0.17348931,0.02671112,0.04211655,0.02560858,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,145,0.04151341,0.16988558,0.02606579,0.04173241,0.02563937,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,146,0.04192591,0.17215268,0.02659617,0.04604367,0.03032581,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,147,0.04172133,0.17441094,0.02680700,0.04259498,0.02709193,0.04074065,0,Phase3-微调,1.000000,2.5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,148,0.04158179,0.17037656,0.02616379,0.04259122,0.02968307,0.04074065,0,Phase3-微调,1.000000,2.5e-05
